Name,CategoryId,FactionId,CrateAmount,Description,WeaponType,AmmunitionId,WeaponProperties,Image
No.2 Loughcaster,1,0,20,Standard-issue Warden rifle. This bolt-action firearm is as robust as they come and has seen over a century of use on the battlefield.,0,10,1;2,weapons/loughcaster.webp
Fiddler Submachine Gun Model 868,1,0,20,The Fiddler Submachine gun is a widely used urban combat weapon. Its high rate of fire and compact frame make it ideal for close-quarters engagements.,8,13,0,weapons/fiddler.webp
The Hangman 757,1,0,20,The weapon of choice for pirates and smugglers. Its legend is well-earned. With incredibly high stopping power and unique revolver mechanism the Hangman often plays judge jury and executioner.,2,14,1;2;13,weapons/hangman.webp
No.4 The Pillory Scattergun,1,0,20,A hunting shotgun with a sawn-off barrel for higher stopping power and mobility at the expense of accuracy. This traditional civilian firearm can fire two shots in rapid succession before needing to be reloaded. It became a favourite sidearm among Caoivish Watchers and has since earned quite an ominous reputation as a result.,6,15,14,weapons/pillory.webp
Aalto Storm Rifle 24,1,0,20,Widely considered to be the first storm rifle the Aalto is a marvel in Caoivish engineering. With its two fire modes it can be used as a rapid-fire assault weapon or an mid-range rifle.,3,11,0,weapons/aalto.webp
Malone MK.2,1,0,5,This heavy machine gun is bulky enough to require a steady surface to maintain stability. The Malone series of machine guns are unmatched defenders on the battlefield.,10,16,6;4,weapons/malone.webp
20 Neville Anti-Tank Rifle,2,0,3,The Neville is unmatched in its versatility as a portable magazine-based anti-armour firearm.,13,18,9;7;6,weapons/neville.webp
Booker Storm Rifle Model 838,1,0,20,The Booker is a high-impact three-round burst storm rifle for those who like to shoot first.,3,11,5,weapons/booker.webp
Cascadier 873,1,0,40,This unique sidearm fires in three-round bursts. The Cascadier may not have the stopping power of its cousins, but it more than makes up for it with its lightweight frame concealability and fire rate.,4,12,15,weapons/cascadier.webp
Cometa T2-9,1,0,30,The Cometa T2-9 boasts remarkable stopping power for a sidearm. This Estrellan mainstay has lived through several generations due to its fine craftsmanship and design.,5,14,,weapons/cometa.webp
Sampo Auto-Rifle 77,1,0,20,The precursor to the storm rifle the Sampo Auto-Rifle is a mastercraft of its day. With a single shot and automatic fire mode this versatile rifle may not reach the fire rates of automatic weapons but more than makes up for it with utility.,0,10,16,weapons/sampo.webp
Blakerow,1,0,20,The Blakerow is a carbine with a high rate of fire compared to its bolt-action predecessor. This increased fire rate does come at the cost of innate stopping power; however its versatility and lightweight frame more than make up for any perceived shortcomings.,0,10,1;2;15,weapons/blakerow.webp
Clancy Cinder M3,1,0,15,The Clancy Cinder is a classic high-powered long rifle designed for use in mid-to-long range encounters. First deployed with the Hands during a high-risk operation in Acrithia.,1,10,1;2,weapons/cinder.webp
No.2B Hawthorne,1,0,15,Initially a field-modified Loughcaster the Hawthorne sports a sawed-off barrel and a much lower profile than its ancestor. While sacrificing accuracy its lightweight frame opens up the Hawthorne to a much higher degree of flexibility in battle and can be carried alongside a heavier primary firearm.,0,10,1;15,weapons/hawthorne.webp
Clancy-Raca M4,1,0,3,A heavy-duty long-range marksman rifle. The Clancy-Raca has one hell of a kick but is fitted with a powerful scope allowing infantry to survey the battlefield and provide support from a safe location.,7,10,17;18,weapons/raca.webp
No.1 "The Liar" Submachinegun,1,0,20,This unique heavy-duty submachine gun is not very useful on the run but with careful aim and adequate cover becomes a razorblade in the night.,8,13,,weapons/liar.webp
Carnyx Anti-Tank Rocket Launcher,2,0,5,Allows infantry to bombard armoured vehicles from safe distances. This anti-tank rocket launcher is surprisingly light when compared to its contemporaries. Its weight is a double-edged sword as firing heavy anti-tank ordinance requires a Carnyx operator to prepare for heavy recoil.,14,41,11;12;19,weapons/carnyx.webp
Mounted Bonesaw MK.3,2,0,5,This variant of the Bonesaw MK.3 is specially designed for use with tripod mounts. This affords it with increased stability and maximum potential range.,15,42,10,weapons/bonesaw.webp
Bonesaw MK.3,2,0,5,The pride of the Warden anti-armour arsenal the Bonesaw MK.3 has one job: to cut through the heavy metal plating of Colonial tanks.,14,42,11;19;20,weapons/bonesaw.webp
Malone Ratcatcher MK.1,2,0,5,Early iterations of this machinegun were built to be emplaced in bunkers and on the decks of lightly armed warships the Ratcatcher is Harvey Malone’s first freely mountable infantry weapon designed for field use. Just like its predecessors this heavy weapon suppresses enemy soldiers with unmatched efficiency.,16,16,6;8;10,weapons/ratcatcher.webp
Cutler Foebreaker,2,0,5,This unique dual-barrelled RPG launcher can fire two RPG shells in relatively quick succession. This increase in firepower makes it nearly impossible for a single soldier to operate without the support of a sturdy mount,15,40,10,weapons/cutler_foebreaker.webp
Cutler Launcher 4,2,0,5,The Cutler Launcher is capable of firing an unguided rocket-propelled grenade over short distances with startling efficiency. Its simple design allows for easy deployment and storage.,17,40,11;12,weapons/cutler_launcher.webp